Date,GTJPYII5Y.Govt,GTJPYII10Y.Govt,JPCPIXFF.Index,JNCPIYOY.Index,GJGB40.Index,GJGB30.Index,GJGB10.Index,GJGB5.Index,GJGB2.Index,GJGB1.Index,GJGB3M.Index,TI0003M.Index,JPINGAA5.Index,JPINGAA1.Index,JPINGAA3.Index
2000-12-28,,,,,,2.584,1.652,0.96,0.47,0.415,0.406,0.59143,,,
2000-12-29,,,,,,2.572,1.646,0.96,0.47,0.415,0.415,0.58643,,,
2000-12-31,,,-0.6,-0.2,,,,,,,,,,,
2001-01-03,,,,,,,,,,0.38,,,,,
2001-01-04,,,,,,2.557,1.632,0.925,0.445,0.38,0.416,0.58357,,,
2001-01-05,,,,,,2.55,1.626,0.905,0.42,0.345,0.48,0.58857,,,
2001-01-09,,,,,,2.514,1.557,0.865,0.405,0.335,0.45,0.58214,,,
2001-01-10,,,,,,2.529,1.571,0.9,0.425,0.34,0.441,0.57786,,,
2001-01-11,,,,,,2.479,1.561,0.86,0.41,0.335,0.387,0.56714,,,
2001-01-12,,,,,,2.424,1.518,0.855,0.405,0.33,0.364,0.55714,,,
2001-01-15,,,,,,2.423,1.537,0.865,0.41,0.33,0.369,0.55357,,,
2001-01-16,,,,,,2.457,1.577,0.88,0.41,0.33,0.363,0.55143,,,
2001-01-17,,,,,,2.468,1.592,0.89,0.41,0.33,0.377,0.54929,,,
2001-01-18,,,,,,2.418,1.537,0.845,0.385,0.32,0.378,0.54857,,,
2001-01-19,,,,,,2.404,1.522,0.83,0.375,0.31,0.369,0.54714,,,
2001-01-22,,,,,,2.345,1.477,0.785,0.34,0.275,0.336,0.535,,,
2001-01-23,,,,,,2.34,1.486,0.795,0.34,0.275,0.327,0.52857,,,
2001-01-24,,,,,,2.34,1.497,0.805,0.355,0.29,0.346,0.525,,,
2001-01-25,,,,,,2.291,1.45,0.76,0.335,0.285,0.342,0.52214,,,
2001-01-26,,,,,,2.249,1.427,0.75,0.325,0.28,0.342,0.52143,,,
2001-01-29,,,,,,2.237,1.446,0.765,0.325,0.28,0.342,0.51857,,,
2001-01-30,,,,,,2.243,1.494,0.82,0.36,0.31,0.334,0.51,,,
2001-01-31,,,-0.8,-0.3,,2.212,1.498,0.805,0.36,0.31,0.335,0.50786,,,
2001-02-01,,,,,,2.223,1.491,0.81,0.37,0.325,,0.50714,,,
2001-02-02,,,,,,2.28,1.531,0.855,0.4,0.35,,0.50571,,,
2001-02-05,,,,,,2.228,1.489,0.815,0.375,0.34,0.33,0.505,,,
2001-02-06,,,,,,2.24,1.504,0.82,0.38,0.34,0.31,0.50286,,,
2001-02-07,,,,,,2.208,1.46,0.78,0.365,0.33,0.31,0.5,,,
2001-02-08,,,,,,2.213,1.465,0.77,0.345,0.315,,0.495,,,
2001-02-09,,,,,,2.203,1.438,0.73,0.31,0.285,,0.48786,,,
2001-02-13,,,,,,2.148,1.394,0.715,0.3,0.275,,0.44429,,,
2001-02-14,,,,,,2.156,1.414,0.73,0.305,0.275,0.257,0.43357,,,
2001-02-15,,,,,,2.146,1.405,0.72,0.295,0.255,0.234,0.42571,,,
2001-02-16,,,,,,2.127,1.404,0.72,0.295,0.255,0.238,0.42071,,,
2001-02-19,,,,,,2.092,1.369,0.68,0.27,0.24,0.226,0.41429,,,
2001-02-20,,,,,,2.107,1.395,0.695,0.28,0.24,0.217,0.41143,,,
2001-02-21,,,,,,2.067,1.369,0.685,0.28,0.24,0.22,0.40857,,,
2001-02-22,,,,,,2.119,1.46,0.735,0.295,0.24,0.214,0.40571,,,
2001-02-23,,,,,,2.104,1.44,0.7,0.26,0.215,0.205,0.39857,,,
2001-02-26,,,,,,2.082,1.42,0.66,0.23,0.19,0.208,0.39357,,,
2001-02-27,,,,,,2.052,1.38,0.655,0.235,0.195,0.209,0.38357,,,
2001-02-28,,,-0.8,-0.3,,2.013,1.35,0.63,0.225,0.195,0.213,0.37571,,,
2001-03-01,,,,,,1.817,1.214,0.544,0.186,0.165,0.123,0.285,,,
2001-03-02,,,,,,1.836,1.234,0.559,0.181,0.151,0.103,0.275,,,
2001-03-05,,,,,,1.842,1.239,0.554,0.18,0.151,0.11,0.26429,,,
2001-03-06,,,,,,1.798,1.199,0.538,0.175,0.152,0.12,0.26,,,
2001-03-07,,,,,,1.732,1.138,0.53,0.175,0.152,0.144,0.25929,,,
2001-03-08,,,,,,1.774,1.174,0.55,0.179,0.152,0.13,0.25714,,,
2001-03-09,,,,,,1.831,1.224,0.573,0.189,0.142,0.125,0.255,,,
2001-03-12,,,,,,1.817,1.195,0.536,0.175,0.133,0.117,0.25214,,,
2001-03-13,,,,,,1.828,1.185,0.542,0.157,0.123,0.109,0.25071,,,
