Date,USDSGD.Curncy,EURUSD.Curncy,USDJPY.Curncy,EURJPY.Curncy,EURGBP.Curncy,BCOM.Index,STI.Index,USGG10YR.Index,MASB2Y.Index,MASB5Y.Index,MASB10Y.Index,SDBS10.Curncy,SGD3M.Curncy,SDO3M.Curncy,CTTWBRSG.Index,CTTWBSGD.Index,USDSGDV3M.Curncy,USDSGDV6M.Curncy,USDSGDV1Y.Curncy,EURUSDV3M.Curncy,EURUSDV6M.Curncy,EURUSDV1Y.Curncy,USDJPYV3M.Curncy,USDJPYV6M.Curncy,USDJPYV1Y.Curncy,SDSOAA.Curncy,SDSOAC.Curncy,SIBF1M.Index,SIBF3M.Index,EUR003M.Index,USOSFRA.Curncy,USOSFRC.Curncy,US0001M.Index,US0003M.Index,SIBCSORA.Index,FEDL01.Index,SOFRRATE.Index,US00O.N.Index,EUBS1.Curncy,JYBS1.Curncy,XAUUSD.Curncy,GDBR10.Index,SDSOA5.Curncy,SDSW5.Curncy,SDSOA10.Curncy,SDSW10.Curncy,VIX.Index,VIX3M.Index,V2X.Index,MOVE.Index,DXY.Curncy,DBS.SP.Equity,OCBC.SP.Equity,UOB.SP.Equity,EUXOQQ1.BGN.Curncy,JYBSS12M.Curncy
2013-05-16,1.2525,1.2882,102.26,131.73,0.84362,130.9044,3452.28,1.8809,0.197,0.496,1.4322,-22.94,-0.8,-0.75,99.8028,97.132,5.0725,5.2325,5.42,8.585,8.775,9.21,12.1425,11.9125,11.7825,,,0.30583,0.3725,0.202,0.1616,0.1602,0.1982,0.2741,0.034,0.11,,0.147,-20.5,-15.25,1385.97,1.331,,0.905,,1.8205,13.07,15.45,16.2609,55.9588,83.588,15.709,10.876,22.01,,
2013-05-17,1.2591,1.2839,103.21,132.51,0.84605,131.7001,3449.3,1.9506,0.197,0.485,1.3891,-23,0.9,-0.53,99.6899,97.0189,5.4475,5.595,5.69,8.685,8.955,9.305,12.2925,12.1225,11.885,,,0.30583,0.3725,0.2,0.1596,0.1612,0.19678,0.2736,0.0575,0.1,,0.1465,-21.25,-16.5,1359.5,1.326,,0.88,,1.7705,12.45,15.17,16.313,61.3274,84.252,15.873,10.857,22.02,,
2013-05-20,1.2541,1.2882,102.27,131.75,0.8444,132.4972,3454.23,1.9647,0.215,0.552,1.4518,-21.5,0.3,-0.55,99.6492,96.9699,5.57,5.79,5.935,8.565,8.865,9.205,12.025,11.895,11.7025,,,0.30583,0.3725,0.199,0.1526,0.1522,0.19618,0.2731,0.0695,0.1,,0.1464,-20,-17.625,1393.85,1.376,,0.9275,,1.837,13.02,15.31,16.672,60.5436,83.736,15.918,10.847,22.1,,
2013-05-21,1.2599,1.2906,102.5,132.28,0.85169,132.3876,3443.9,1.9263,0.232,0.59,1.5201,-21,0.1,-0.35,99.2763,96.604,5.6675,5.8175,6.0275,8.41,8.705,9.125,11.7,11.695,11.5575,,,0.3075,0.3725,0.198,0.1541,0.1521,0.19628,0.2741,0.1007,0.09,,0.1464,-20,-17.5,1376.29,1.391,,0.9515,,1.8865,13.37,15.78,16.9073,59.7589,83.864,15.773,10.828,22,,
2013-05-22,1.2668,1.2858,103.16,132.63,0.85452,132.3145,3454.37,2.0395,0.274,0.642,1.5607,-20.6,0.2,-0.25,99.1155,96.4444,5.595,5.7825,6.01,8.595,8.85,9.245,11.805,11.785,11.6175,,,0.30792,0.37333,0.199,0.1492,0.1532,0.19528,0.27375,0.0965,0.08,,0.1425,-20,-17,1370.27,1.427,,0.97,,1.905,13.82,15.82,16.2933,65.3652,84.352,15.709,10.818,21.82,,
2013-05-23,1.2636,1.2934,102.02,131.94,0.8561,132.5625,3393.17,2.0157,0.316,0.704,1.6037,-20.5,0.4,-0.15,99.0287,96.3568,6.205,6.3,6.3525,8.5875,8.915,9.2625,12.2525,12.0125,11.7,,,0.30875,0.37333,0.199,0.1496,0.1522,0.19328,0.27275,0.1355,0.08,,0.1389,-20,-18,1391.05,1.444,,1.0205,,1.9605,14.07,16,18.3633,68.2182,83.8,15.591,10.556,21.67,,
2013-05-24,1.2643,1.2932,101.31,131.01,0.85514,131.9755,,2.0081,,,,-20.5,0.55,,98.9963,96.3222,6.055,6.2225,6.4175,8.44,8.825,9.245,12.63,12.2725,11.8425,,,,,0.2,0.1476,0.1512,0.19328,0.27275,,0.09,,0.135,-19.5,-18,1386.64,1.431,,1.0205,,1.9605,13.99,15.92,18.4925,65.1208,83.7,,,,,
2013-05-27,1.2609,1.2931,100.96,130.54,0.85629,,3391.3,2.0081,0.334,0.804,1.7148,-20.51,-0.25,-0.25,99.3404,96.6477,5.93,6.135,6.315,8.44,8.76,9.145,12.52,12.23,11.805,,,0.30875,0.37333,0.201,0.1456,0.1502,,,0.0694,,,,-19.5,-18.25,1394.78,1.457,,1.07,,2.04,,,18.152,65.1208,83.7,15.782,10.643,21.43,,
2013-05-28,1.2707,1.2856,102.37,131.59,0.8548,132.4238,3406.08,2.1652,0.322,0.815,1.721,-20.5,0.25,-0.45,99.1443,96.4538,5.985,6.0975,6.335,8.53,8.82,9.225,12.3975,12.055,11.7325,,,0.30875,0.37333,0.199,0.1537,0.1552,0.19278,0.27275,0.0564,0.09,,0.1337,-19.25,-17,1381.12,1.498,,1.0625,,2.0255,14.48,15.87,17.7473,75.5083,84.1,15.7,10.546,21.3,,
2013-05-29,1.2662,1.2941,101.16,130.9,0.85527,131.8463,3367.47,2.1153,0.352,1.122,1.8579,-17.5,0.5,-0.6,99.1874,96.4926,6.385,6.4175,6.66,8.62,8.9275,9.2675,12.7075,12.2975,11.88,,,0.30875,0.37333,0.2,0.1446,0.1512,0.19378,0.27575,0.0588,0.08,,0.1349,-19.3,-16.3748,1392.95,1.533,,1.2125,,2.19,14.83,16.15,19.6808,81.2154,83.66,15.564,10.41,21.28,,
