Date,SPX.Index,STI.Index,FBMKLCI.Index,JCI.Index,SET.Index,PCOMP.Index
2000-07-31,1430.83,2077.3,798.83,492.193,284.67,1417.17
2000-08-01,1438.1,2097.81,804.59,489.677,295.49,1410.33
2000-08-02,1438.7,2093.38,802.53,490.437,301.22,1412.77
2000-08-03,1452.56,2070.02,809.87,491.992,307.97,1436.06
2000-08-04,1462.93,2078.55,814.99,494.16,311.42,1451.18
2000-08-07,1479.32,2082.8,814.26,490.544,306.72,1450.1
2000-08-08,1482.8,2079.57,825.52,485.08,318.15,1438.74
2000-08-09,1472.87,,819.11,483.35,315.02,1458.53
2000-08-10,1460.25,2117.53,808.62,488.619,309.42,1469.24
2000-08-11,1471.84,2126.11,802.53,505.791,316.6,1474.86
2000-08-14,1491.56,2157.72,800.23,504.067,,1463.85
2000-08-15,1484.43,2174.79,806.74,501.579,321.44,1473.28
2000-08-16,1479.85,2212.87,810.47,496.4,327.46,1473.07
2000-08-17,1496.07,2227.26,821.53,,322.5,1499.74
2000-08-18,1491.72,2215.14,819.59,494.188,319.22,1506.57
2000-08-21,1499.48,2228.22,809.4,497.394,312.66,1492.75
2000-08-22,1498.13,2249.57,807.89,500.099,316.48,1496.98
2000-08-23,1505.97,2223.18,809.05,503.396,308.37,1491.31
2000-08-24,1508.31,2202.5,802.84,482.653,307.32,1491.25
2000-08-25,1506.45,2204.13,799.26,486.907,306.84,1493.48
2000-08-28,1514.09,2195.67,796.39,481.667,305.72,1505.2
2000-08-29,1509.84,2183.52,798.49,470.838,309.24,1514.25
2000-08-30,1502.59,2187.59,795.84,469.061,309.67,1525.19
2000-08-31,1517.68,2164.92,,466.38,307.83,1537.52
2000-09-01,1520.77,2175.9,767.02,470.415,310.73,1529.65
2000-09-04,,2210.53,743.52,475.356,309.01,1532.64
2000-09-05,1507.08,2193.84,751.58,478.422,308.25,1542.76
2000-09-06,1492.25,2177.09,749.55,475.546,302.51,1527.8
2000-09-07,1502.51,2155.8,743.64,472.599,298.31,1523.04
2000-09-08,1494.5,2151.52,739.81,470.925,297.07,1523.69
2000-09-11,1489.26,2138.34,727.15,462.538,290.34,1501.48
2000-09-12,1481.99,2111.32,729.95,451.045,288.03,1496.89
2000-09-13,1484.91,2110.76,745.07,442.091,290.55,1489.4
2000-09-14,1480.87,2099.24,747.17,,287.21,1450.15
2000-09-15,1465.81,2081.54,752.61,,293.3,1450.99
2000-09-18,1444.51,2044.7,741.21,411.033,286.81,1440.27
2000-09-19,1459.9,2042.84,741.53,425.128,287.16,1424.23
2000-09-20,1451.34,2025.74,750.04,419.352,282.23,1434.77
2000-09-21,1449.05,2003.73,747.16,417.678,283.13,1422.69
2000-09-22,1448.72,1952.92,739.57,406.915,274.14,1420.61
2000-09-25,1439.03,1994.08,735.61,410.898,280.25,1424.17
2000-09-26,1427.21,2005.14,735.54,411.854,282.08,1426.17
2000-09-27,1426.57,1986.98,728.46,410.131,285.38,1439.24
2000-09-28,1458.29,1982.41,720.85,415.523,279.75,1441.83
2000-09-29,1436.51,2021.75,713.51,421.336,277.29,1434.49
2000-10-02,1436.23,1997.71,703.95,432.239,276.69,1425.16
2000-10-03,1426.46,2009.25,708.54,427.711,271.38,1395.52
2000-10-04,1434.32,2005.85,707.9,418.83,271.85,1372.7
2000-10-05,1436.28,2027.64,704.16,423.896,269.51,1389.11
2000-10-06,1408.99,1998.64,709.55,421.996,267.68,1389
2000-10-09,1402.03,1924.92,704.99,415.364,261.29,1365.01
2000-10-10,1387.02,1953.85,711.25,412.915,256.98,1332.22
2000-10-11,1364.59,1891.61,714.25,412.33,250.6,1326.26
2000-10-12,1329.78,1912.95,737.88,408.424,257.74,1318.74
2000-10-13,1374.17,1939.02,750.04,408.2,254.26,1323.65
2000-10-16,1374.62,1947.31,766.18,411.75,258.08,1295.02
2000-10-17,1349.97,1880.29,765.2,417.439,259.95,1271.75
2000-10-18,1342.13,1893.53,772.03,416.948,268.18,1263.67
2000-10-19,1388.76,1941.76,774.2,422.733,276.19,1256.96
2000-10-20,1396.93,1977.05,778.99,420.331,276.6,1251.23
2000-10-23,1395.78,1963.92,783.5,417.451,,1267.69
2000-10-24,1398.13,1967.11,786.49,418.641,275.48,1282.42
2000-10-25,1364.9,1982.99,796.22,,271.1,1294.37
2000-10-26,1364.44,,,414.16,275.39,1293.63
2000-10-27,1379.58,2021.76,791.08,411.843,274.34,1284.88
2000-10-30,1398.66,2016.34,774.31,404.115,270.34,1284.66
2000-10-31,1429.4,2036.52,752.36,405.347,271.84,1287.85
2000-11-01,1421.22,2084.14,758.12,409.362,279.77,
2000-11-02,1428.32,2085.21,749.43,407.961,280.3,
2000-11-03,1426.69,2096.32,760.3,409.834,287.84,
2000-11-06,1432.19,2037.47,763.69,415.267,291.93,1500.1
2000-11-07,1431.87,2048.48,763.84,421.033,292.36,1512.58
2000-11-08,1409.28,2042.08,758.23,426.076,299.37,1478.42
2000-11-09,1400.14,2027.98,753.14,421.472,293.59,1488.79
2000-11-10,1365.98,2017.28,752.44,426.97,293.23,1488.95
2000-11-13,1351.26,1969.44,737.2,423.664,287.18,1455.94
2000-11-14,1382.95,2005.88,745.25,425.61,288.28,1469.58
2000-11-15,1389.81,1988.01,737.68,418.719,288.75,1469.2
2000-11-16,1372.32,2016.09,730,416.981,289.99,1468.44
2000-11-17,1367.72,1985.74,735.09,421.143,294.71,1470.52
2000-11-20,1342.62,1965.29,739.04,426.293,288.41,1465.1
2000-11-21,1347.35,1958.84,727.08,425.516,287.06,1449
2000-11-22,1322.36,1953.86,720.67,431.702,283.58,1456.65
2000-11-23,,1987.25,708.87,433.548,284.22,1447.74
2000-11-24,1341.77,2031.15,713.63,434.211,285.42,1442.27
