Date,DBS.SP.Equity,OCBC.SP.Equity,UOB.SP.Equity
2010-07-29,1.3015,1.4946,1.6765
2010-07-30,1.2926,1.4913,1.6748
2010-08-02,1.3105,1.4996,1.6765
2010-08-03,1.3051,1.4946,1.6866
2010-08-04,1.3015,1.488,1.6917
2010-08-05,1.3123,1.4797,1.6613
2010-08-06,1.3123,1.4764,1.6462
2010-08-10,1.3015,1.4566,1.6276
2010-08-11,1.28,1.4418,1.604
2010-08-12,1.271,1.4302,1.5888
2010-08-13,1.2746,1.4352,1.5905
2010-08-16,1.2692,1.4285,1.5821
2010-08-17,1.2656,1.4285,1.577
2010-08-18,1.2585,1.4203,1.5703
2010-08-19,1.2656,1.4418,1.5736
2010-08-20,1.2531,1.4252,1.5854
2010-08-23,1.2387,1.4236,1.5854
2010-08-24,1.2315,1.4285,1.5787
2010-08-25,1.2333,1.4302,1.5534
2010-08-26,1.2261,1.4236,1.5618
2010-08-27,1.2315,1.4318,1.5838
2010-08-30,1.2441,1.4434,1.5922
2010-08-31,1.2459,1.4318,1.5787
2010-09-01,1.2638,1.4517,1.5939
2010-09-02,1.2674,1.4533,1.5703
2010-09-03,1.2674,1.4649,1.5719
2010-09-06,1.2782,1.4731,1.5989
2010-09-07,1.28,1.4781,1.5972
2010-09-08,1.2674,1.4484,1.5939
2010-09-09,1.271,1.4418,1.5821
2010-09-13,1.2764,1.455,1.5787
2010-09-14,1.2603,1.4451,1.5703
2010-09-15,1.2621,1.4616,1.5804
2010-09-16,1.2567,1.4599,1.5669
2010-09-17,1.2513,1.4533,1.5618
2010-09-20,1.2459,1.4434,1.5551
2010-09-21,1.2459,1.4451,1.5534
2010-09-22,1.2405,1.4434,1.55
2010-09-23,1.2531,1.4368,1.5416
2010-09-24,1.2638,1.4533,1.5652
2010-09-27,1.2764,1.4599,1.5753
2010-09-28,1.2728,1.4599,1.5534
2010-09-29,1.2782,1.4698,1.5568
2010-09-30,1.2336,1.5917,1.502
2010-10-01,1.2459,1.5935,1.5217
2010-10-04,1.2581,1.6186,1.5414
2010-10-05,1.2634,1.6456,1.5315
2010-10-06,1.2756,1.6528,1.5479
2010-10-07,1.2634,1.624,1.5463
2010-10-08,1.2634,1.6186,1.5315
2010-10-11,1.2669,1.6168,1.5217
2010-10-12,1.2616,1.6025,1.5069
2010-10-13,1.2932,1.6366,1.543
2010-10-14,1.2791,1.6438,1.5397
2010-10-15,1.3019,1.6546,1.5397
2010-10-18,1.2862,1.6618,1.5348
2010-10-19,1.2897,1.6546,1.5496
2010-10-20,1.2686,1.6366,1.5233
2010-10-21,1.2581,1.6366,1.5118
2010-10-22,1.2704,1.6294,1.5118
2010-10-25,1.2791,1.6348,1.5299
2010-10-26,1.2616,1.6168,1.5299
2010-10-27,1.2283,1.6079,1.5381
2010-10-28,1.2213,1.6186,1.5348
2010-10-29,1.2178,1.6204,1.5282
2010-11-01,1.2266,1.6582,1.525
2010-11-02,1.2266,1.6726,1.5184
2010-11-03,1.2353,1.6726,1.5135
2010-11-04,1.2459,1.6924,1.5069
2010-11-08,1.2371,1.7715,1.5168
2010-11-09,1.2371,1.7787,1.5217
2010-11-10,1.2353,1.7859,1.5118
2010-11-11,1.2336,1.8417,1.5168
2010-11-12,1.2301,1.7949,1.5102
2010-11-15,1.2266,1.7625,1.5151
2010-11-16,1.2196,1.7769,1.5004
2010-11-18,1.2213,1.7841,1.5184
2010-11-19,1.2178,1.7607,1.502
2010-11-22,1.2161,1.7535,1.4971
2010-11-23,1.2091,1.7086,1.4922
2010-11-24,1.2003,1.7158,1.484
2010-11-25,1.2126,1.7302,1.5053
2010-11-26,1.2161,1.7302,1.5151
2010-11-29,1.2196,1.7319,1.5168
2010-11-30,1.2266,1.7859,1.5168
2010-12-01,1.2283,1.7967,1.5168
2010-12-02,1.2318,1.7949,1.5168
2010-12-03,1.2301,1.7607,1.4938
2010-12-06,1.2336,1.7643,1.484
2010-12-07,1.2283,1.7715,1.484
2010-12-08,1.2301,1.7625,1.4922
2010-12-09,1.2318,1.7751,1.4889
2010-12-10,1.2283,1.7715,1.4872
2010-12-13,1.2266,1.7571,1.4823
2010-12-14,1.2283,1.7661,1.4758
2010-12-15,1.2178,1.7319,1.4594
2010-12-16,1.2371,1.7445,1.4643
2010-12-17,1.2616,1.7769,1.4741
2010-12-20,1.2529,1.7697,1.4594
2010-12-21,1.2476,1.7661,1.4643
2010-12-22,1.2564,1.7697,1.4659
2010-12-23,1.2564,1.7535,1.461
2010-12-24,1.2546,1.7589,1.4659
2010-12-27,1.2564,1.7751,1.4659
2010-12-28,1.2634,1.7877,1.484
2010-12-29,1.2704,1.7913,1.4971
2010-12-30,1.2704,1.7985,1.5118
2010-12-31,1.2516,1.7453,1.4529
